5,A1,3,A9,3.0
5,A1,3,B10,3.0
5,A1,3,C11,3.0
5,A1,3,D12,3.0
5,A2,3,B1,3.0
5,A2,3,C2,3.0
5,A2,3,D3,3.0
5,A2,3,E4,3.0
5,A2,3,F5,3.0
5,A2,3,G6,3.0
5,A2,3,H7,3.0
5,A2,3,A8,3.0
5,A2,3,B9,3.0
5,A2,3,C10,3.0
5,A2,3,D11,3.0
5,A2,3,E12,3.0
5,A3,3,C1,3.0
5,A3,3,D2,3.0
5,A3,3,E3,3.0
5,A3,3,F4,3.0
5,A3,3,G5,3.0
5,A3,3,H6,3.0
5,A3,3,A7,3.0
5,A3,3,B8,3.0
5,A3,3,C9,3.0
5,A3,3,D10,3.0
5,A3,3,E11,3.0
5,A3,3,F12,3.0
5,A4,3,D1,3.0
5,A4,3,E2,3.0
5,A4,3,F3,3.0
5,A4,3,G4,3.0
5,A4,3,H5,3.0
5,A4,3,A6,3.0
5,A4,3,B7,3.0
5,A4,3,C8,3.0
5,A4,3,D9,3.0
5,A4,3,E10,3.0
5,A4,3,F11,3.0
5,A4,3,G12,3.0
5,A5,3,E1,3.0
5,A5,3,F2,3.0
5,A5,3,G3,3.0
5,A5,3,H4,3.0
5,A5,3,A5,3.0
5,A5,3,B6,3.0
5,A5,3,C7,3.0
5,A5,3,D8,3.0
5,A5,3,E9,3.0
5,A5,3,F10,3.0
5,A5,3,G11,3.0
5,A5,3,H12,3.0
5,A6,3,F1,3.0
5,A6,3,G2,3.0
5,A6,3,H3,3.0
5,A6,3,A4,3.0
5,A6,3,B5,3.0
5,A6,3,C6,3.0
5,A6,3,D7,3.0
5,A6,3,E8,3.0
5,A6,3,F9,3.0
5,A6,3,G10,3.0
5,A6,3,H11,3.0
5,A6,3,A12,3.0
5,A7,3,G1,3.0
5,A7,3,H2,3.0
5,A7,3,A3,3.0
5,A7,3,B4,3.0
5,A7,3,C5,3.0
5,A7,3,D6,3.0
5,A7,3,E7,3.0
5,A7,3,F8,3.0
5,A7,3,G9,3.0
5,A7,3,H10,3.0
5,A7,3,A11,3.0
5,A7,3,B12,3.0
5,A8,3,H1,3.0
5,A8,3,A2,3.0
5,A8,3,B3,3.0
5,A8,3,C4,3.0
5,A8,3,D5,3.0
5,A8,3,E6,3.0
5,A8,3,F7,3.0
5,A8,3,G8,3.0
5,A8,3,H9,3.0
5,A8,3,A10,3.0
5,A8,3,B11,3.0
5,A8,3,C12,3.0
5,A1,6,H2,3.0
5,A1,6,H4,3.0
5,A1,6,A5,3.0
5,A1,6,D5,3.0
5,A1,6,A6,3.0
5,A1,6,F6,3.0
5,A1,6,G6,3.0
5,A1,6,C7,3.0
5,A1,6,E9,3.0
5,A1,6,F9,3.0
5,A1,6,D10,3.0
5,A1,6,B11,3.0
5,A2,6,C2,3.0
5,A2,6,D3,3.0
5,A2,6,E3,3.0
5,A2,6,A4,3.0
5,A2,6,F5,3.0
5,A2,6,D6,3.0
5,A2,6,E7,3.0
5,A2,6,B8,3.0
5,A2,6,H9,3.0
5,A2,6,E11,3.0
5,A2,6,H11,3.0
5,A2,6,H12,3.0
5,A3,6,C1,3.0
5,A3,6,G1,3.0
5,A3,6,A2,3.0
5,A3,6,B6,3.0
5,A3,6,B7,3.0
5,A3,6,F7,3.0
5,A3,6,H7,3.0
5,A3,6,F8,3.0
5,A3,6,C9,3.0
5,A3,6,G9,3.0
5,A3,6,G11,3.0
5,A3,6,E12,3.0
5,A4,6,B2,3.0
5,A4,6,D2,3.0
5,A4,6,C4,3.0
5,A4,6,E4,3.0
5,A4,6,F4,3.0
5,A4,6,B5,3.0
5,A4,6,E8,3.0
5,A4,6,H8,3.0
5,A4,6,A9,3.0
5,A4,6,F10,3.0
5,A4,6,G10,3.0
5,A4,6,A12,3.0
5,A5,6,E1,3.0
5,A5,6,A3,3.0
5,A5,6,F3,3.0
5,A5,6,G3,3.0
5,A5,6,C5,3.0
5,A5,6,E5,3.0
5,A5,6,C6,3.0
5,A5,6,H6,3.0
5,A5,6,D8,3.0
5,A5,6,B9,3.0
5,A5,6,D9,3.0
5,A5,6,C11,3.0
5,A6,6,A1,3.0
5,A6,6,F1,3.0
5,A6,6,H1,3.0
5,A6,6,G2,3.0
5,A6,6,G5,3.0
5,A6,6,A7,3.0
5,A6,6,D7,3.0
5,A6,6,G7,3.0
5,A6,6,G8,3.0
5,A6,6,A10,3.0
5,A6,6,E10,3.0
5,A6,6,B12,3.0
5,A7,6,B1,3.0
5,A7,6,F2,3.0
5,A7,6,B3,3.0
5,A7,6,C3,3.0
5,A7,6,D4,3.0
5,A7,6,H5,3.0
5,A7,6,A8,3.0
5,A7,6,C8,3.0
5,A7,6,H10,3.0
5,A7,6,F11,3.0
5,A7,6,C12,3.0
5,A7,6,F12,3.0
5,A8,6,D1,3.0
5,A8,6,E2,3.0
5,A8,6,H3,3.0
5,A8,6,B4,3.0
5,A8,6,G4,3.0
5,A8,6,E6,3.0
5,A8,6,B10,3.0
5,A8,6,C10,3.0
5,A8,6,A11,3.0
5,A8,6,D11,3.0
5,A8,6,D12,3.0
5,A8,6,G12,3.0
